# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1708438363315000000,1708438423315000000,0
FilePageCache.maxRegisteredFiles,1708438363315000000,1708438423315000000,534
FilePageCacheLockFree.totalNativeBytesAllocated,1708438363315000000,1708438423315000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1708438363315000000,1708438423315000000,202407936
FilePageCacheLockFree.totalBytesWritten,1708438363315000000,1708438423315000000,0
MappedFileStorage.totalPagesMapped,1708438363315000000,1708438423315000000,6
FilePageCacheLockFree.totalPagesRequested,1708438363315000000,1708438423315000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1708438363315000000,1708438423315000000,0
DirectByteBufferAllocator.reclaimed,1708438363315000000,1708438423315000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1708438363315000000,1708438423315000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1708438363315000000,1708438423315000000,120
FilePageCacheLockFree.totalNativeBytesReclaimed,1708438363315000000,1708438423315000000,0
FilePageCacheLockFree.totalPagesHandedOver,1708438363315000000,1708438423315000000,0
FilePageCache.pageFastCacheHits,1708438363315000000,1708438423315000000,70
MappedFileStorage.totalTimeSpentOnMappingUs,1708438363315000000,1708438423315000000,1009
StorageLockContext.competingThreads.max,1708438363315000000,1708438423315000000,0
FilePageCacheLockFree.totalPagesReclaimed,1708438363315000000,1708438423315000000,0
DirectByteBufferAllocator.misses,1708438363315000000,1708438423315000000,0
FilePageCacheLockFree.totalPagesWriteMs,1708438363315000000,1708438423315000000,0
workspaceModel.updates.precise.ms,1708438363315000000,1708438423315000000,0
workspaceModel.collect.changes.ms,1708438363315000000,1708438423315000000,0
workspaceModel.pre.handlers.ms,1708438363315000000,1708438423315000000,1
workspaceModel.update.unloaded.entities.ms,1708438363315000000,1708438423315000000,0
workspaceModel.updates.ms,1708438363315000000,1708438423315000000,71
workspaceModel.initializing.ms,1708438363315000000,1708438423315000000,1
workspaceModel.loading.total.ms,1708438363315000000,1708438423315000000,36
workspaceModel.check.recursive.update.ms,1708438363315000000,1708438423315000000,0
workspaceModel.updates.count,1708438363315000000,1708438423315000000,1
workspaceModel.replace.project.model.ms,1708438363315000000,1708438423315000000,0
workspaceModel.to.snapshot.ms,1708438363315000000,1708438423315000000,0
workspaceModel.init.bridges.ms,1708438363315000000,1708438423315000000,1
workspaceModel.loading.from.cache.ms,1708438363315000000,1708438423315000000,27
FileNameCache.queries,1708438363315000000,1708438423315000000,3103
FileNameCache.totalMisses,1708438363315000000,1708438423315000000,0
IndexesFlusher.totalFlushingTimeUs,1708438423315000000,1708438483315000000,109795
IndexesFlusher.totalFlushesRetried,1708438423315000000,1708438483315000000,0
IndexesFlusher.totalFlushes,1708438423315000000,1708438483315000000,59
IndexesFlusher.totalContentionQuotaSpent,1708438423315000000,1708438483315000000,0
jps.library.entities.serializer.load.entities.ms,1708438423315000000,1708438483315000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1708438423315000000,1708438483315000000,161
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1708438423315000000,1708438483315000000,1
jps.modifiable.module.model.bridge.disposing.ms,1708438423315000000,1708438483315000000,0
workspaceModel.orphan.listener.update.ms,1708438423315000000,1708438483315000000,2
jps.artifact.entities.serializer.save.entities.ms,1708438423315000000,1708438483315000000,0
workspaceModel.sync.entities.ms,1708438423315000000,1708438483315000000,0
workspaceModel.global.apply.state.to.project.ms,1708438423315000000,1708438483315000000,0
jps.storage.jps.conf.reader.load.component.ms,1708438423315000000,1708438483315000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1708438423315000000,1708438483315000000,0
jps.global.handle.changed.events.ms,1708438423315000000,1708438483315000000,0
jps.load.initial.state.ms,1708438423315000000,1708438483315000000,6
workspaceModel.mutableEntityStorage.entities.by.source.ms,1708438423315000000,1708438483315000000,0
jps.global.get.library.by.name.ms,1708438423315000000,1708438483315000000,0
